dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Eh? I'm not sure I heard you right, {playername}. War is not easily forgotten by either side of the conflict, and I have a very long memory. Why should I take any interest in brokering peace with those dogs?
dlga_lord_ask_to_make_peace_2:convince_begin|Perhaps I can talk you into it...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Never mind, peace can wait for now.
dlga_convince_accept:close_window.1|You... have convinced me, {playername}. Very well then, you've my blessing to bring a peace offer to {s14}. I cannot guarantee they will accept it, but on the off-chance they do, I will stand by it.
dlga_lord_talk:lord_challenge_duel_for_lady|I want you to take back your accusations against {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|What accusations? Everyone knows that she beds her stable boys and anyone else she can lay hands on while her husband is away. I merely repeat the words of many.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|You will recant these lies, sirrah, or prove them against my sword!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|If you say so...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Relinquish your suit of {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Or what? Do you intend to duel over a lady? I'll let you know -- our liege frowns on this sort of hot-headed challenge, when every man must stand together against the foreign foe.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Do you fear to fight me?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|My pardon. I have spoken rashly...
dlga_lord_talk:lord_message_delivered|I bring a message from {s9}.
dlga_lord_message_delivered:lord_pretalk|Oh? Let me see that... Well, well, well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see him again.
dlga_lord_talk:lord_message_delivered_enemy|I bring a message from {s9}.
dlga_lord_message_delivered_enemy:close_window|Oh? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, with my thanks.
dlga_lord_talk:lord_deliver_message_prisoner|I bring a message from {s11}.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Can it be true? Oh, thank you kindly, {playername}! You have brought hope and some small ray of light to these bleak walls. Perhaps one day I will be able to repay you.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a| 'Twas the least I could do, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|You've no idea how grateful I am, {playername}. A thousand thanks and more.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Worry not, {s65}. You'll have ample opportunity once you are free again.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, of course, {playername}. My eternal thanks go with you.
dlga_lord_talk:lord_rescue_by_replace_offer|Fear not, I am here to rescue you.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|By God, are you serious? What is your plan?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|A simple ruse, {s65}. If we exchange garments, I shall take your place here in prison, while you make your escape disguised as myself. I paid the guards a handsome bribe, with which I am sure they have already purchased half the wine stocks of the nearest tavern. With some luck they'll soon get so drunk they'd have trouble recognising their own mothers, let alone telling one of us from the other. At least not until you are safely away.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, it might just work... But what of you, my {friend/lady}? The guards won't take kindly to this trickery. You may end up spending some time in this cell yourself.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Not to worry, {s65}. The place is already starting to grow on me.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|I shall be fine as long there is an ample reward waiting at the end.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|You are a brave soul indeed. I won't forget this.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Of course, my {friend/lady}, of course! Come to me when you have regained your freedom, and perhaps I shall be able to repay the debt I owe you.
dlga_lord_rescue_by_replace_offer_6:close_window|Quickly, {s65}, let us change garments. It is past time you were away from here.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, I wish to restore my old oath to {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|That is too great a matter for me to decide, {playername}. You should seek out {s4}. Such clemency is his alone to grant or deny.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|As you like, {s65}. I will accept your judgment.
dlga_lord_ask_pardon_terms:lord_pretalk.1|A shame, {s65}. A shame.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Very well, go and die without me.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Aye, I am ready.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|On second thought, no. I don't wish to be in your service again.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Aye, I agree to those terms.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|That is too high a price, {s65}. I must decline.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excellent. Though you strayed from us, {playername}, it gladdens all our hearts that you have found your way back to the right path. I hereby restore your homage to me. Rise once more as an honoured {man/warrior} in my service.
dlga_lord_ask_pardon_terms_rejected:close_window|Then get out of my sight, traitor! Begone with you, and do not come back!
dlga_lord_talk:lord_ask_pardon|I wish to make peace with the {s4}.
dlga_lord_ask_pardon:lord_pretalk|Do you indeed, {playername}? Then go and trip on your sword. Give us all peace.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, you are a {lord/lady} without a master, holding lands in your name, with only the barest scrap of a claim to legitimacy. No king in Europe would accept a lasting peace with you.
dlga_lord_ask_pardon:lord_pretalk.2|Make peace when I have you at an advantage? I think not.
dlga_lord_ask_pardon:lord_pretalk.3|I do not see it as being in my current interest to make peace.
dlga_lord_ask_pardon:lord_truce_offer|Yes... I am weary of fighting you. I could offer you a truce of twenty days. If you keep your word and do not molest my lands and subjects, we may talk again...
dlga_lord_truce_offer:close_window|I accept. Let us stop making war upon each other, for the time being anyway
dlga_lord_truce_offer:lord_pretalk|On second thought, such an accord would not be in my interests.
dlga_lord_ask_pardon:lord_ask_pardon_2|Hmm. I could use my considerable influence to arrange a pardon for you, {playername}, but there are some who see you as an enemy and will not be satisfied unless you pay tribute. All in all, you'd need to bring no less than {reg16} denars to make any friends in {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|I am in no position to offer you anything. You must speak to {s7}.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Yes... I have bigger worries than you or your followers. However, you have wronged my subjects, and wrongs demand compensation. For the sume of {reg16} denars, I suppose that I could agree to grant you a pardon. What do you say?
dlga_lord_ask_pardon:lord_pretalk.5|I am sorry. I am in no position to offer you a pardon
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|I have the money here. {reg16} denars.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|I fear I cannot pay that much.
dlga_lord_ask_pardon_tribue_accept:close_window|Excellent, {playername}. I will use this to make amends to those you have wronged, and I will let it be known that you are no longer an enemy of the {s4}.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Excellent, {playername}. I'll use the coin to smooth the feathers of those that can oppose your pardon, and I'm sure that word will soon spread that you are no longer an enemy of {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Then there's nothing I can do for you, {playername}. No silver, no pardon.
dlga_lord_talk:lord_active_mission_1|About the task you gave me...
dlga_lord_talk:lord_switch_to_spouse|Let us discuss matters related to our household.
dlga_lord_switch_to_spouse:lord_pretalk|Let us wait until we are in a hall, my wife, as it is difficult to deal with household inventories and such matters in the field.
dlga_lord_switch_to_spouse:spouse_talk|Certainly, my wife
dlga_lord_talk:lord_request_mission_ask|Do you have any tasks for me?
dlga_lord_talk:combined_political_quests|Do you think we can work together to advance our standings in this realm?
dlga_combined_political_quests:lord_pretalk|I do not imagine that you and I have many mutual interests.
dlga_combined_political_quests:lord_pretalk.1|Hmm.. Perhaps we can discuss this matter in a more private setting, at a later date.
dlga_combined_political_quests:lord_pretalk.2|Hmm.. I do have an idea, but it would require you that you be free of controversy. If you were to wait some time without getting into any arguments with the other lords of our realm, perhaps we could proceed further.
dlga_lord_talk:lord_ask_resign_marshalship|I wish to resign the marshalship
dlga_lord_ask_resign_marshalship:lord_pretalk|So be it. I shall have to find someone else.
dlga_lord_talk:lord_ask_enter_service|{s66}, I have come to offer you my sword in vassalage!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, I wish to become your sworn {man/woman} and fight for your honour.
dlga_lord_talk:lord_ask_leave_service|{s66}, I wish to be released from my oath to you.
dlga_lord_talk:lord_talk_preoffer|I have an offer for you.
dlga_lord_talk:lord_give_troops|I want to give some troops to you.
dlga_lord_give_troops:lord_pretalk|Well, I could use some good soldiers. Thank you.
dlga_lord_talk:lord_give_order_ask|I have a new task for you.
dlga_lord_talk:lord_give_suggestion_ask|May I suggest a course of action?
dlga_lord_give_order_ask:lord_give_order|Yes?
dlga_lord_give_suggestion_ask:lord_give_order|I will gladly follow your direction, {sire/your Highness}. If you intend to direct an extensive campaign, however, you may also wish to declare yourself marshal, so there is no cause for confusion.
dlga_lord_give_suggestion_ask:lord_pretalk|My apologies. I don't know you well enough to take your advice.
dlga_lord_give_suggestion_ask:lord_give_order.1|What is it?
dlga_lord_give_order:lord_give_order_answer|Follow me.
dlga_lord_give_order:lord_give_order_answer.1|Will you follow me? I have a plan...
dlga_lord_give_order:lord_give_order_details_ask|Go to...
dlga_lord_give_order:lord_give_order_details_ask.1|Raid around the village of...
dlga_lord_give_order:lord_give_order_details_ask.2|Patrol around...
dlga_lord_give_order:lord_give_order_assault|Together, you and I can take {s11}. You should assault immediately...
dlga_lord_give_order:lord_give_order_details_ask.3|We are under attack, but the enemy can be repulsed. You should ride towards...
dlga_lord_give_order:lord_give_order_details_ask.4|We are under attack, but the enemy can be repulsed. You should assemble the army and march to...
dlga_lord_give_order_assault:lord_pretalk|{s4} is directing this siege. I suggest you speak to {reg4?her:him}
dlga_lord_give_order_assault:lord_pretalk.1|Our preparations are not yet ready. We need another {s11}
dlga_lord_give_order_assault:close_window|Very well -- to the walls!
dlga_lord_give_order:lord_give_order_details_ask.5|There is a fortress which can easily be taken. Go to..
dlga_lord_give_order:lord_give_order_details_ask.6|The enemy is coming in force. Flee in the direction of...
